Paper#Ref;Input Modalities > Geolocation;Input Modalities > Timestamp;Input Modalities > Other;Input Modalities > Text;Input Modalities > Image;Image Representation > Deep learning-based Image Features;Image Representation > Traditional Image Features;Image Representation > Unsicher;Image Representation > None;Summarization > Aggregation;Summarization > Subsampling;Summarization > Filtering;Summarization > Spatial Arrangement;Summarization > unsicher;Summarizing Entities > Marks;Summarizing Entities > Representative Images;Summarizing Entities > Captions and Tags;Summarizing Entities > Numerical statistics;Summarizing Entities > Unsicher;Input for Position in Visualization > None / fixed Visualization;Input for Position in Visualization > Single Attribute;Input for Position in Visualization > Two Attributes;Input for Position in Visualization > More Attributes;Input for Position in Visualization > Distance;Input for Position in Visualization > Geography;Input for Position in Visualization > Topology;Input for Position in Visualization > Unsicher;Set Size - Claimed > not specified;Set Size - Claimed > Tens;Set Size - Claimed > Hundreds;Set Size - Claimed > Thousands;Set Size - Claimed > Tens of Thousands;Set Size - Claimed > Hundreds of Thousands;Set Size - Claimed > Millions or More;Set Size - Confirmed > not specified;Set Size - Confirmed > Tens;Set Size - Confirmed > Hundreds;Set Size - Confirmed > Thousands;Set Size - Confirmed > Tens of Thousands;Set Size - Confirmed > Hundreds of Thousands;Set Size - Confirmed > Millions or More;Set Size - Confirmed > Unsicher;Goal > Explore;Goal > Confirm;Goal > Present;Goal > Produce;Goal > Not mentioned / unclear;Goal > Unsicher;Interactions > Select;Interactions > Navigate;Interactions > Reconfigure;Interactions > Encode;Interactions > Show Details / Show Context;Interactions > Filter;Interactions > unsicher;Interactions > None;Evaluation > Algorithmic Performance;Evaluation > None;Evaluation > User Experience and Performance;Evaluation > Qualitative Results Inspection (incl Usage Scenario / Use Case);Evaluation > Case Study (excl. Usage Scenario);Unnamed: 62
Story Albums: Creating Fictional Stories From Personal Photograph Sets#http://zotero.org/groups/3431/items/5YR9NTR2;1;1;1;1;1;2;2;0;0;0;0;3;0;0;0;4;4;0;0;0;0;0;0;0;0;5;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;0;0;10;0;0;
Comparing Personal Image Collections with PICTuReVis#http://zotero.org/groups/3431/items/EEELP2V2;1;1;1;1;1;2;0;0;0;3;0;0;0;0;4;4;0;0;0;5;0;5;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;7;0;0;8;8;0;0;0;0;9;9;9;9;9;9;9;0;0;0;10;0;0;
Generating visual story graphs with application to photo album summarization#http://zotero.org/groups/3431/items/CMMBXLJF;1;1;0;1;1;2;0;0;0;3;0;3;0;0;4;4;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;6;0;0;0;0;7;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;10;0;10;0;0;
ARIES: Enabling visual exploration and organization of art image collections#http://zotero.org/groups/3431/items/W32DLE9P;1;1;0;1;1;0;0;0;2;3;0;3;0;0;4;4;0;0;0;0;5;5;0;0;5;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;8;8;0;8;0;0;9;0;9;0;9;0;0;0;0;0;0;0;10;
Narrative Collage of Image Collections by Scene Graph Recombination#http://zotero.org/groups/3431/items/9Q6KU7FV;1;1;0;0;1;2;2;0;0;3;0;3;0;0;0;4;0;0;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;0;0;10;10;0;
Learning crowdsourced user preferences for visual summarization of image collections#http://zotero.org/groups/3431/items/PECZIRJ3;1;0;1;1;1;0;2;0;0;3;0;3;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;10;0;0;0;0;
Visualization and recommendation of large image collections toward effective sensemaking#http://zotero.org/groups/3431/items/7XM9ZI4S;0;1;0;1;1;0;2;0;0;3;0;3;3;0;4;4;4;0;0;0;0;0;0;5;0;5;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;8;8;0;0;0;0;9;0;0;9;9;9;0;0;10;0;10;10;0;
A summarized photo visualization system with maximal clique finding algorithm#http://zotero.org/groups/3431/items/VUKTFF64;0;1;0;0;1;0;2;0;0;3;0;3;0;0;0;4;0;0;0;5;5;0;0;0;0;5;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;8;0;8;8;0;0;0;0;0;0;0;0;0;9;10;0;0;0;0;
Semantic Hierarchical Exploration of Large Image Datasets#http://zotero.org/groups/3431/items/VS6X3P5L;0;0;1;0;1;2;0;0;0;3;0;3;3;0;4;4;0;4;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;8;8;0;0;0;0;9;9;0;9;9;9;0;0;0;0;0;10;0;
Image Collage on Arbitrary Shape via Shape-Aware Slicing and Optimization#http://zotero.org/groups/3431/items/P4DWR7LL;0;0;1;0;1;2;0;0;0;0;0;0;3;0;0;4;0;0;0;0;5;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;10;0;10;10;0;
A viewable indexing structure for the interactive exploration of dynamic and large image collections#http://zotero.org/groups/3431/items/GAB27IWZ;0;0;1;0;1;0;2;0;0;3;0;3;0;0;0;4;0;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;8;0;0;0;0;0;9;9;0;9;9;0;0;0;10;0;10;10;0;
ClusterTag: Interactive visualization, clustering and tagging tool for big image collections#http://zotero.org/groups/3431/items/C5YEJ2YL;0;0;1;0;1;0;2;0;0;3;0;3;0;0;0;4;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;8;0;0;8;0;0;9;9;9;0;9;0;0;0;0;10;0;0;0;
A knowledge-based semantic approach for image collection summarization#http://zotero.org/groups/3431/items/YBP4748U;0;0;1;0;1;0;2;0;0;0;0;3;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;10;0;10;0;0;
DendroMap: Visual Exploration of Large-Scale Image Datasets for Machine Learning with Treemaps#http://zotero.org/groups/3431/items/C9ZFYC3Y;0;0;0;1;1;2;0;0;0;3;3;0;0;0;4;4;0;4;0;0;0;0;0;0;0;5;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;8;8;0;0;0;0;9;9;0;0;9;9;0;0;10;0;10;10;0;
A kernel-based framework for image collection exploration#http://zotero.org/groups/3431/items/5TRRFRRV;0;0;0;1;1;0;2;0;0;3;0;3;3;0;0;4;0;0;0;0;0;0;0;5;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;8;0;0;0;0;0;9;0;0;0;0;9;0;0;10;0;10;0;0;
Visualizing multimodal image collections#http://zotero.org/groups/3431/items/V7VMZ3FL;0;0;0;1;1;0;2;0;0;3;0;3;0;0;0;4;4;0;0;5;0;0;0;0;0;5;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;8;0;0;0;0;0;9;0;0;0;9;0;0;0;0;0;0;10;0;
Multimodal latent topic analysis for image collection summarization#http://zotero.org/groups/3431/items/6N94DJ5E;0;0;0;1;1;0;2;0;0;3;0;3;0;0;0;4;4;0;0;0;5;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;10;0;0;0;0;
Similarity-based visualization of large image collections#http://zotero.org/groups/3431/items/FF2IHK9E;0;0;0;1;1;0;2;0;0;3;0;3;0;0;0;4;0;0;0;0;5;0;0;0;0;5;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;8;0;0;0;0;0;9;0;9;0;9;9;0;0;10;0;10;0;0;
PRISM: Concept-preserving social image search results summarization#http://zotero.org/groups/3431/items/IA8E5FHA;0;0;0;1;1;0;2;0;0;3;0;3;0;0;0;4;0;0;0;0;5;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;10;0;10;0;0;
Tree-Based Visualization and Optimization for Image Collection#http://zotero.org/groups/3431/items/UN3S5BN8;0;0;0;1;1;0;2;0;0;3;0;0;3;0;0;4;0;0;0;0;0;0;0;5;0;5;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;8;0;0;0;9;0;9;0;0;0;0;0;10;0;10;10;0;
A joint optimization model for image summarization based on image content and tags#http://zotero.org/groups/3431/items/25TPE85J;0;0;0;1;1;0;2;0;0;0;0;3;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;10;0;0;10;0;
Real-time visual navigation in huge image sets using similarity graphs#http://zotero.org/groups/3431/items/T9UJYMHW;0;0;0;0;1;2;2;0;0;3;0;3;3;0;0;4;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;8;0;0;0;0;0;9;9;0;0;9;9;0;0;0;10;0;0;0;
Content-Based Visual Summarization for Image Collections#http://zotero.org/groups/3431/items/QWPNISL7;0;0;0;0;1;2;2;0;0;3;0;3;0;0;0;4;0;0;0;0;0;0;0;5;0;5;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;10;0;10;0;0;
Graph navigation for exploring very large image collections#http://zotero.org/groups/3431/items/5BDVQVVJ;0;0;0;0;1;2;0;0;0;3;0;3;3;0;0;4;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;8;0;0;0;0;0;0;9;0;0;9;0;0;0;0;10;0;0;0;
II-20: Intelligent and pragmatic analytic categorization of image collections#http://zotero.org/groups/3431/items/PRYCUTRS;0;0;0;0;1;2;0;0;0;3;0;3;0;0;0;4;4;4;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;8;0;0;8;0;0;9;0;0;0;0;9;0;0;10;0;10;0;0;
A Semantic-Based Method for Visualizing Large Image Collections#http://zotero.org/groups/3431/items/9V74JR4E;0;0;0;0;1;2;0;0;0;3;0;0;3;0;4;4;4;0;0;0;0;0;0;5;0;5;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;8;8;8;0;0;0;9;9;9;0;9;9;0;0;10;0;10;10;0;
An Approach to Generate a Caption for an Image Collection Using Scene Graph Generation#http://zotero.org/groups/3431/items/HPDC5VZ6;0;0;0;0;1;2;0;0;0;3;0;0;0;0;0;0;4;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;10;0;0;10;0;
Towards Captioning an Image Collection from a Combined Scene Graph Representation Approach#http://zotero.org/groups/3431/items/SXEI9VD3;0;0;0;0;1;2;0;0;0;3;0;0;0;0;0;0;4;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;10;0;0;0;0;
Album Quickview in Comic-like Layout via Quartet Analysis#http://zotero.org/groups/3431/items/UXVFXIU4;0;0;0;0;1;0;2;0;0;3;0;3;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;0;0;10;10;0;
Generating summaries for photographic images based on human affects#http://zotero.org/groups/3431/items/HJ264SP4;0;0;0;0;1;0;2;0;0;3;0;3;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;0;0;10;0;0;
